Ticker,Ex-Dividend Date,Dividend Amount,Price,Dividend Yield,Company
STBBF,2025-06-19,2.5,91.38,2.74,STRABAG SE
WHF,2025-06-18,0.385,8.99,4.28,"WhiteHorse Finance, Inc."
VST,2025-06-18,0.225,160.57,0.14,Vistra Corp.
VSH,2025-06-18,0.1,14.07,0.71,"Vishay Intertechnology, Inc."
UWMC,2025-06-18,0.1,4.3,2.33,UWM Holdings Corporation
TTE,2025-06-18,0.961112,58.68,1.64,TotalEnergies SE
TEFOF,2025-06-18,0.15,5.5,2.73,TELEFONICA SA
TEF,2025-06-18,0.17034,5.31,3.21,Telefonica SA
SMZZF,2025-06-18,0.24,0.6,40.0,
SBMFF,2025-06-18,0.04,0.56,7.13,SINO BIOPHARMACEUTICAL
RUBSF,2025-06-18,2.03,33.16,6.12,RUBIS SCA
QCRH,2025-06-18,0.06,67.3,0.09,"QCR Holdings, Inc."
MPW,2025-06-18,0.08,4.57,1.75,"Medical Properties Trust, Inc."
LUV,2025-06-18,0.18,33.38,0.54,Southwest Airlines Company
LRCX,2025-06-18,0.23,80.79,0.28,Lam Research Corporation
ITRN,2025-06-18,0.5,38.09,1.31,Ituran Location and Control Ltd
IMQCF,2025-06-18,0.3,5.88,5.1,INMOBILIARIA COLONIAL SOCIMI S.
GZITF,2025-06-18,0.13,0.58,22.39,YUEXIU TRANSPORT INFRASTRUCTURE
GSM,2025-06-18,0.014,3.63,0.39,Ferroglobe PLC
GENTF,2025-06-18,8.0,11.15,71.75,G5 ENTERTAINMENT AB
FSK,2025-06-18,0.64,21.21,3.02,FS KKR Capital Corp.
DMA,2025-06-18,0.0825,8.78,0.94,
CURB,2025-06-18,0.16,22.69,0.71,Curbline Properties Corp.
CTJHY,2025-06-18,0.664817,9.0,7.39,Citic Resources Holdings Ltd.
CSGS,2025-06-18,0.32,66.06,0.48,"CSG Systems International, Inc."
CHNSF,2025-06-18,0.0098,0.02,49.0,CHINA STARCH HOLDINGS LIMITED
BURCB,2025-06-18,0.23,11.75,1.96,BURNHAM HOLDINGS INC
BURCA,2025-06-18,0.23,23.4,0.98,"Burnham Holdings, Inc."
BPCGF,2025-06-18,0.03,0.73,4.09,BANCO COMERCIAL PORTUGUES S.A.
BMBRF,2025-06-18,4.0,11.5,34.78,BIM BIRLESIK MAGAZALAR
BBY,2025-06-18,0.95,66.28,1.43,"Best Buy Co., Inc."
WOSSF,2025-06-17,0.035,0.13,26.92,WATER OASIS GROUP
UTG,2025-06-17,0.19,34.6,0.55,53270
TTC,2025-06-17,0.38,75.78,0.5,Toro Company (The)
SPE,2025-06-17,0.1098,15.15,0.72,"Special Opportunities Fund, Inc"
SOR,2025-06-17,0.2083,42.56,0.49,"Source Capital, Inc. Cmn Shs of"
SNFRF,2025-06-17,0.0571,0.15,37.08,SINOFERT HOLDINGS
SHTDY,2025-06-17,0.471279,12.02,3.92,Sinopharm Group Co. Ltd.
SHALF,2025-06-17,0.1,0.56,17.99,SHANGRI-LA ASIA
PLDGP,2025-06-17,1.0675,55.85,1.91,"Prologis, Inc."
PLD,2025-06-17,1.01,108.6,0.93,"Prologis, Inc."
PHM,2025-06-17,0.22,98.03,0.22,"PulteGroup, Inc."
PHKIF,2025-06-17,0.021,0.17,12.3,POLY PROPERTY GROUP CO LTD
PCF,2025-06-17,0.0593,6.32,0.94,High Income Securities Fund
NOPMF,2025-06-17,0.1,6.87,1.46,Neo Performance Materials Inc.
MAOIF,2025-06-17,1.25,24.99,5.0,MANITOU
JJSF,2025-06-17,0.78,115.17,0.68,J & J Snack Foods Corp.
HBAN,2025-06-17,0.155,15.63,0.99,Huntington Bancshares Incorpora
GLV,2025-06-17,0.0526,5.55,0.95,25219
GLQ,2025-06-17,0.065,6.74,0.96,Clough Global Equity Fund Cloug
GLO,2025-06-17,0.0501,5.24,0.96,Clough Global Opportunities Fun
ELME,2025-06-17,0.18,16.06,1.12,Elme Communities
ECL,2025-06-17,0.65,265.62,0.24,Ecolab Inc.
DSX,2025-06-17,0.01,1.52,0.66,Diana Shipping inc.
DPNEF,2025-06-17,0.02,0.02,115.61,DAPHNE INTERNATIONAL HOLDINGS L
CZNL,2025-06-17,0.25,42.24,0.59,CITIZENS NATIONAL CORP KY
CHMG,2025-06-17,0.32,46.87,0.68,Chemung Financial Corp
CCIF,2025-06-17,0.105,6.56,1.6,
BATMF,2025-06-17,0.075,1.01,7.43,BRITISH AMERICAN TOBACCO (MALAY
AUUMF,2025-06-17,0.17,14.6,1.16,AUMANN AG
ATVDY,2025-06-17,0.765272,7.19,10.64,ATRESMEDIA CORP DE MEDIOS DE CO
APH,2025-06-17,0.165,89.93,0.18,Amphenol Corporation
AIOSF,2025-06-17,0.47,6.57,7.16,ATRESMEDIA CORP DE MEDIOS DE CO
AEGOF,2025-06-17,0.19,6.71,2.83,AEGON LIMITED
AEG,2025-06-17,0.199177,7.19,2.77,Aegon Ltd. New York Registry Sh
ABLGF,2025-06-17,1.5,92.0,1.63,ALTEN SA
WU,2025-06-16,0.235,9.28,2.53,Western Union Company (The)
WJXFF,2025-06-16,0.35,16.97,2.06,Wajax Corp.
VTS,2025-06-16,0.5625,20.93,2.69,"Vitesse Energy, Inc."
VNORP,2025-06-16,0.8125,50.0,1.62,Vornado Realty Trust
VLNSF,2025-06-16,0.03,11.0,0.27,Velan Inc.
UTMD,2025-06-16,0.305,55.08,0.55,"Utah Medical Products, Inc."
UGI,2025-06-16,0.375,36.06,1.04,UGI Corporation
UCPLF,2025-06-16,1.25,83.5,1.5,UNITED CORPORATIONS LIMITED
TY,2025-06-16,1.052,31.19,3.37,Tri Continental Corporation
TSLX,2025-06-16,0.46,23.29,1.98,"Sixth Street Specialty Lending,"
TRMLF,2025-06-16,0.5,45.07,1.11,Tourmaline Oil Corp.
TPVG,2025-06-16,0.3,6.96,4.31,TriplePoint Venture Growth BDC 
TECK,2025-06-16,0.125,37.05,0.34,Teck Resources Ltd
TDS,2025-06-16,0.04,34.36,0.12,"Telephone and Data Systems, Inc"
TCPC,2025-06-16,0.25,7.84,3.19,BlackRock TCP Capital Corp.
TCKRF,2025-06-16,0.125,33.84,0.37,Teck Resources Ltd.
SYBT,2025-06-16,0.31,73.56,0.42,"Stock Yards Bancorp, Inc."
SVBT,2025-06-16,0.23,42.65,0.54,SVB&T Corporation
STRW,2025-06-16,0.14,10.2,1.37,"Strawberry Fields REIT, Inc."
STEL,2025-06-16,0.14,26.92,0.52,"Stellar Bancorp, Inc."
SNFRY,2025-06-16,0.365393,7.73,4.73,SINOFERT HOLDINGS UNSP ADR EACH
SHALY,2025-06-16,0.257195,10.76,2.39,Shangri-La Asia Ltd.
RYN,2025-06-16,0.2725,23.7,1.15,Rayonier Inc. REIT
